Year, Month, Day, Hour, Minute, Open, High, Low, Close, Volume
2013,4,11, 00,00, 162.00, 162.00, 162.00, 162.00, 3.4985
2013,4,11, 00,01, 162.00, 163.00, 162.00, 163.00, 6.2747
2013,4,11, 00,02, 164.90, 164.90, 164.90, 164.90, 2.2119
2013,4,11, 00,03, 165.00, 165.16, 164.90, 164.90, 50.5396
2013,4,11, 00,04, 164.90, 165.16, 164.90, 165.16, 18.8459
2013,4,11, 00,05, 164.90, 165.16, 164.90, 165.16, 10.1000
2013,4,11, 00,06, 164.90, 165.16, 164.90, 165.16, 9.0141
2013,4,11, 00,07, 165.16, 165.16, 165.01, 165.16, 3.0983
2013,4,11, 00,08, 165.36, 165.36, 165.36, 165.36, 3.9611
2013,4,11, 00,09, 165.36, 166.50, 165.00, 166.50, 21.6278
2013,4,11, 00,11, 166.50, 166.50, 166.50, 166.50, 3.0000
2013,4,11, 00,12, 166.50, 167.99, 166.50, 167.99, 33.2048
2013,4,11, 00,13, 167.99, 167.99, 166.50, 166.50, 15.4841
2013,4,11, 00,14, 167.98, 167.98, 167.98, 167.98, 3.0000
2013,4,11, 00,15, 167.99, 167.99, 167.99, 167.99, 18.6248
2013,4,11, 00,16, 167.98, 167.98, 167.98, 167.98, 2.0000
2013,4,11, 00,17, 168.00, 168.30, 167.99, 168.30, 59.6999
2013,4,11, 00,18, 166.06, 166.06, 166.06, 166.06, 0.0061
2013,4,11, 00,19, 167.50, 167.50, 167.50, 167.50, 0.0748
2013,4,11, 00,21, 167.50, 167.50, 166.05, 166.05, 1.6195
2013,4,11, 00,22, 167.50, 167.50, 167.50, 167.50, 0.0200
2013,4,11, 00,23, 167.00, 167.50, 167.00, 167.50, 8.8016
2013,4,11, 00,24, 168.30, 168.30, 168.30, 168.30, 1.0000
2013,4,11, 00,25, 167.50, 167.50, 167.50, 167.50, 3.0000
2013,4,11, 00,27, 167.00, 167.01, 167.00, 167.01, 0.8551
2013,4,11, 00,28, 167.02, 167.02, 167.02, 167.02, 49.9995
2013,4,11, 00,29, 167.03, 169.00, 167.00, 169.00, 16.2712
2013,4,11, 00,30, 169.88, 170.00, 169.88, 170.00, 71.6467
2013,4,11, 00,31, 170.00, 170.00, 169.99, 170.00, 42.8103
2013,4,11, 00,32, 170.00, 171.60, 170.00, 171.60, 20.0985
2013,4,11, 00,33, 171.79, 172.00, 171.79, 172.00, 64.2282
